Accession ID,Host,Location,Area,Country,Collection date
EPI_ISL_402119,Human,Wuhan,Hubei,China,2019-12-30
EPI_ISL_402120,Human,Wuhan,Hubei,China,2020-01-01
EPI_ISL_402121,Human,Wuhan,Hubei,China,2019-12-30
EPI_ISL_402123,Human,Wuhan,Hubei,China,2019-12-24
EPI_ISL_402124,Human,Wuhan,Hubei,China,2019-12-30
EPI_ISL_402125,Human,Wuhan,Hubei,China,2020-12-19
EPI_ISL_402126,Human,Japan,Japan,Japan,2020-01-14
EPI_ISL_402127,Human,Wuhan,Hubei,China,2019-12-30
EPI_ISL_402128,Human,Wuhan,Hubei,China,2019-12-30
EPI_ISL_402129,Human,Wuhan,Hubei,China,2019-12-30
EPI_ISL_402130,Human,Wuhan,Hubei,China,2019-12-30
EPI_ISL_402131,Rhinolophus affinis,Pu'er,Yunnan,China,2013-07-24
EPI_ISL_402132,Human,Wuhan,Hubei,China,2019-12-30
EPI_ISL_403928,Human,Wuhan,Hubei,China,2020-01-01
EPI_ISL_403929,Human,Wuhan,Hubei,China,2019-12-30
EPI_ISL_403930,Human,Wuhan,Hubei,China,2019-12-30
EPI_ISL_403931,Human,Wuhan,Hubei,China,2019-12-30
EPI_ISL_403932,Human,Shenzhen,Guangdong,China,2020-01-14
EPI_ISL_403933,Human,Shenzhen,Guangdong,China,2020-01-15
EPI_ISL_403934,Human,Shenzhen,Guangdong,China,2020-01-15
EPI_ISL_403935,Human,Shenzhen,Guangdong,China,2020-01-15
EPI_ISL_403936,Human,Zhuhai,Guangdong,China,2020-01-17
EPI_ISL_403937,Human,Zhuhai,Guangdong,China,2020-01-18
EPI_ISL_403962,Human,Thailand,Thailand,Thailand,2020-01-08
EPI_ISL_403963,Human,Thailand,Thailand,Thailand,2020-01-13
EPI_ISL_404227,Human,Wenzhou,Zhejiang,China,2020-01-16
EPI_ISL_404228,Human,Whenzhou,Zhejiang,China,2020-01-17
EPI_ISL_404253,Human,USA,USA,USA,2020-01-21
EPI_ISL_404895,Human,USA,USA, USA,2020-01-19
EPI_ISL_405839,Human,Shenzhen,Guangdong,China,2020-01-11
EPI_ISL_406030,Human,Shenzhen,Guangdong,China,2020-01-10
EPI_ISL_406031,Human,Kaohsiung,Taiwan,China,2020-01-23
EPI_ISL_406034,Human,USA,USA,USA,2020-01-23
EPI_ISL_406036,Human,USA,USA,USA,2020-01-22
EPI_ISL_406223,Human,USA,USA,USA,2020-01-22
EPI_ISL_406531,Human,Zhuhai,Guangdong,China,2020-01-22
EPI_ISL_406533,Human,Guangzhou,Guangdong,China,2020-01-22
EPI_ISL_406534,Human,Foshan,Guangdong,China,2020-01-22
EPI_ISL_406535,Human,Foshan,Guangdong,China,2020-01-22
EPI_ISL_406536,Human,Foshan,Guangdong,China,2020-01-22
EPI_ISL_406538,Human,Guangdong,Guangdong,China,2020-01-23
EPI_ISL_406592,Human,Shenzhen,Guangdong,China,2020-01-13
EPI_ISL_406593,Human,Shenzhen,Guangdong,China,2020-01-13
EPI_ISL_406594,Human,Shenzhen,Guangdong,China,2020-01-16
EPI_ISL_406595,Human,Shenzhen,Guangdong,China,2020-01-16
EPI_ISL_406596,Human,France,France,France,2020-01-23
EPI_ISL_406597,Human,France,France,France,2020-01-23
EPI_ISL_406716,Human,Wuhan,Hubei,China,2020-01-02
EPI_ISL_406717,Human,Wuhan,Hubei,China,2020-01-02
EPI_ISL_406798,Human,Wuhan,Hubei,China,2019-12-26
EPI_ISL_406799,Human,Wuhan,Hubei,China,2019-12-31
EPI_ISL_406800,Human,Wuhan,Hubei,China,2020-01-01
EPI_ISL_406801,Human,Wuhan,Hubei,China,2020-01-05
EPI_ISL_406844,Human,Australia,Australia,Australia,2020-01-25
EPI_ISL_406862,Human,Germany,Germany,Germany,2020-01-28
EPI_ISL_406959,Human,Italy,Italy,Italy,2020-01-20
EPI_ISL_406960,Human,Italy,Italy,Italy,2020-01-20
EPI_ISL_406970,Human,Hangzhou,Zhejiang,China,2020-01-20
EPI_ISL_406973,Human,Singapore,Singapore,Singapore,2020-01-23
EPI_ISL_407071,Human,England,England,England,2020-01-29
EPI_ISL_407073,Human,England,England,England,2020-01-29
EPI_ISL_407079,Human,Finland,Finland,Finland ,2020-01-29
EPI_ISL_407084,Human,Japan,Japan,Japan,2020-01-25
EPI_ISL_407193,Human,Korea,Korea,Korea,2020-01-25
EPI_ISL_407214,Human,USA,USA,USA,2020-01-25
EPI_ISL_407215,Human,USA,USA,USA,2020-01-25
EPI_ISL_407313,Human,Hangzhou,Zhejiang,China,2020-01-19
EPI_ISL_407893,Human,Australia,Australia,Australia,2020-01-24
EPI_ISL_407894,Human,Australia,Australia,Australia,2020-01-28
EPI_ISL_407896,Human,Australia,Australia,Australia,2020-01-30
EPI_ISL_407976,Human,Belgium,Belgium,Belgium,2020-02-03
EPI_ISL_407987,Human,Singapore,Singapore,Singapore,2020-01-25
EPI_ISL_407988,Human,Singapore,Singapore,Singapore,2020-02-01
EPI_ISL_408008,Human,USA,USA,USA,2020-01-29
EPI_ISL_408009,Human,USA,USA,USA,2020-01-29
EPI_ISL_408010,Human,USA,USA,USA,2020-01-29
EPI_ISL_408068,Human,Italy,Italy,Italy,2020-01-29
EPI_ISL_408430,Human,France,France,France,2020-01-29
EPI_ISL_408431,Human,France,France,France,2020-01-29
EPI_ISL_408478,Human,Yongchuan,Chongqing,China,2020-01-21
EPI_ISL_408479,Human,Zhongxian,Chongqing,China,2020-01-23
EPI_ISL_408480,Human,Kunming,Yunnan,China,2020-01-17
EPI_ISL_408481,Human,Chongqing,Chongqing,China,2020-01-18
EPI_ISL_408482,Human,Qingdao,Shandong,China,2020-01-19
EPI_ISL_408483,Human,Shanghai,Shanghai,China,2020-01-20
EPI_ISL_408484,Human,Chengdu,Sichuan,China,2020-01-15
EPI_ISL_408485,Human,Beijing,Beijing,China,2020-01-18
EPI_ISL_408486,Human,Pingxiang,Jiangxi,China,2020-01-11
EPI_ISL_408487,Human,Zhengzhou,Henan,China,2020-01-20
EPI_ISL_408488,Human,Huaian,Jiangsu,China,2020-01-19
EPI_ISL_408489,Human,Taipei,Taiwan,China,2020-01-31
EPI_ISL_408511,Environment,Wuhan,Hubei,China,2020-01-01
EPI_ISL_408512,Environment,Wuhan,Hubei,China,2020-01-01
EPI_ISL_408513,Environment,Wuhan,Hubei,China,2020-01-01
EPI_ISL_408514,Environment,Wuhan,Hubei,China,2020-01-01
EPI_ISL_408515,Environment,Wuhan,Hubei,China,2020-01-01
EPI_ISL_408665,Human,Japan,Japan,Japan,2020-01-29
EPI_ISL_408666,Human,Japan,Japan,Japan,2020-01-31
EPI_ISL_408667,Human,Japan,Japan,Japan,2020-01-31
EPI_ISL_408668,Human,Vietnam,Vietnam,Vietnam,2020-01-24
EPI_ISL_408669,Human,Japan,Japan,Japan,2020-01-29
EPI_ISL_408670,Human,USA,USA, USA,2020-01-31
EPI_ISL_408975,Human,Hong Kong,Hong Kong,China,2020-01-22
EPI_ISL_408976,Human,Australia,Australia,Australia,2020-01-22
EPI_ISL_408977,Human,Australia,Australia,Australia,2020-01-25
EPI_ISL_408978,Human,Wuhan,Hubei,China,2020-02-07
EPI_ISL_408994,Human,Hong Kong,Hong Kong,China,2020-01-21
EPI_ISL_408995,Human,Hong Kong,Hong Kong,China,2020-01-24
EPI_ISL_408996,Human,Hong Kong,Hong Kong,China,2020-01-24
EPI_ISL_408997,Human,Hong Kong,Hong Kong,China,2020-01-24
EPI_ISL_408998,Human,Hong Kong,Hong Kong,China,2020-01-25
EPI_ISL_408999,Human,Hong Kong,Hong Kong,China,2020-01-25
EPI_ISL_409000,Human,Hong Kong,Hong Kong,China,2020-01-26
EPI_ISL_409001,Human,Hong Kong,Hong Kong,China,2020-01-29
EPI_ISL_409002,Human,Hong Kong,Hong Kong,China,2020-01-29
EPI_ISL_409020,Human,Hong Kong,Hong Kong,China,2020-01-30
EPI_ISL_409022,Human,Hong Kong,Hong Kong,China,2020-01-29
EPI_ISL_409023,Human,Hong Kong,Hong Kong,China,2020-01-31
EPI_ISL_409024,Human,Hong Kong,Hong Kong,China,2020-01-31
EPI_ISL_409025,Human,Hong Kong,Hong Kong,China,2020-02-01
EPI_ISL_409026,Human,Hong Kong,Hong Kong,China,2020-02-03
EPI_ISL_409027,Human,Hong Kong,Hong Kong,China,2020-02-03
EPI_ISL_409067,Human,USA,USA,USA,2020-01-29
EPI_ISL_410044,Human,USA,USA,USA,2020-01-27
EPI_ISL_410045,Human,USA,USA,USA,2020-01-28
EPI_ISL_410218,Human,Taipei,Taiwan,China,2020-02-05
EPI_ISL_410301,Human,Nepal,Nepal,Nepal,2020-01-13
EPI_ISL_410302,Human,Philippines,Philippines,Philippines,2020-01-26
EPI_ISL_410314,Human,Philippines,Philippines,Philippines,2020-02-06
EPI_ISL_410344,Human,Philippines,Philippines,Philippines,2020-01-26
EPI_ISL_410345,Human,Philippines,Philippines,Philippines,2020-01-23
EPI_ISL_410486,Human,France,France,France,2020-02-08
EPI_ISL_410487,Human,Malaysia,Malaysia,Malaysia,2020-01-24
EPI_ISL_410488,Human,Malaysia,Malaysia,Malaysia,2020-01-24
EPI_ISL_410489,Human,Malaysia,Malaysia,Malaysia,2020-01-24
EPI_ISL_410531,Human,Japan,Japan,Japan,2020-01-25
EPI_ISL_410532,Human,Japan,Japan,Japan,2020-01-23
EPI_ISL_410535,Human,Singapore,Singapore,Singapore,2020-02-03
EPI_ISL_410536,Human,Singapore,Singapore,Singapore,2020-02-06
EPI_ISL_410537,Human,Singapore,Singapore,Singapore,2020-02-09
EPI_ISL_410538,Manis javanica,Guangxi,Guangxi,China,2017-01-01
EPI_ISL_410539,Manis javanica,Guangxi,Guangxi,China,2017-01-01
EPI_ISL_410540,Manis javanica,Guangxi,Guangxi,China,2017-01-01
EPI_ISL_410541,Manis javanica,Guangxi,Guangxi,China,2017-01-01
EPI_ISL_410542,Manis javanica,Guangxi,Guangxi,China,2017-01-01
EPI_ISL_410543,Manis javanica,Guangxi,Guangxi,China,2017-01-01
EPI_ISL_410544,Manis javanica,Guangdong,Guangdong,China,2019-01-01
EPI_ISL_410545,Human,Italy,Italy,Italy,2020-01-29
EPI_ISL_410546,Human,Italy,Italy,Italy,2020-01-31
EPI_ISL_410713,Human,Singapore,Singapore,Singapore,2020-01-27
EPI_ISL_410714,Human,Singapore,Singapore,Singapore,2020-02-03
EPI_ISL_410715,Human,Singapore,Singapore,SIngapore,2020-02-04
EPI_ISL_410716,Human,Singapore,Singapore,SIngapore,2020-02-04
EPI_ISL_410717,Human,Australia,Australia,Australia,2020-02-05
EPI_ISL_410718,Human,Australia,Australia,Australia,2020-02-05
EPI_ISL_410719,Human,Singapore,Singapore,Singapore,2020-02-02
EPI_ISL_410720,Human,France,France,France,2020-01-23
EPI_ISL_410721,Manis javanica,Guangdong,Guangdong,China,2020-02-16
LC522350,Human,Philippines,Philippines,Philippines,2020-01-26
MN938385,Human,Shenzhen,Guangdong,China,2020-01-20
