Accession ID,Virus name,City,Province,Country,Collection date
EPI_ISL_402119,BetaCoV/Wuhan/IVDC-HB-01/2019,Wuhan,Hubei,China,2019/12/30
EPI_ISL_402120,BetaCoV/Wuhan/IVDC-HB-04/2020,Wuhan,Hubei,China,2020/1/1
EPI_ISL_402121,BetaCoV/Wuhan/IVDC-HB-05/2019,Wuhan,Hubei,China,2019/12/30
EPI_ISL_402123,BetaCoV/Wuhan/IPBCAMS-WH-01/2019,Wuhan,Hubei,China,2019/12/24
EPI_ISL_402124,BetaCoV/Wuhan/WIV04/2019,Wuhan,Hubei,China,2019/12/30
EPI_ISL_402125,BetaCoV/Wuhan-Hu-1/2019,Wuhan,Hubei,China,2019/12/24
EPI_ISL_402126,BetaCoV/Kanagawa/1/2020,,Kanagawa,Japan,2020/1/14
EPI_ISL_402127,BetaCoV/Wuhan/WIV02/2019,Wuhan,Hubei,China,2019/12/30
EPI_ISL_402128,BetaCoV/Wuhan/WIV05/2019,Wuhan,Hubei,China,2019/12/30
EPI_ISL_402129,BetaCoV/Wuhan/WIV06/2019,Wuhan,Hubei,China,2019/12/30
EPI_ISL_402130,BetaCoV/Wuhan/WIV07/2019,Wuhan,Hubei,China,2019/12/30
EPI_ISL_402131,BetaCoV/bat/Yunnan/RaTG13/2013,Pu'er,Yunnan,China,2013/7/24
EPI_ISL_402132,BetaCoV/Wuhan/HBCDC-HB-01/2019,Wuhan,Hubei,China,2019/12/30
EPI_ISL_403928,BetaCoV/Wuhan/IPBCAMS-WH-05/2020,Wuhan,Hubei,China,2020/1/1
EPI_ISL_403929,BetaCoV/Wuhan/IPBCAMS-WH-04/2019,Wuhan,Hubei,China,2019/12/30
EPI_ISL_403930,BetaCoV/Wuhan/IPBCAMS-WH-03/2019,Wuhan,Hubei,China,2019/12/30
EPI_ISL_403931,BetaCoV/Wuhan/IPBCAMS-WH-02/2019,Wuhan,Hubei,China,2019/12/30
EPI_ISL_403932,BetaCoV/Guangdong/20SF012/2020,Shenzhen,Guandong,China,2020/1/14
EPI_ISL_403933,BetaCoV/Guangdong/20SF013/2020,Shenzhen,Guandong,China,2020/1/15
EPI_ISL_403934,BetaCoV/Guangdong/20SF014/2020,Shenzhen,Guandong,China,2020/1/15
EPI_ISL_403935,BetaCoV/Guangdong/20SF025/2020,Shenzhen,Guandong,China,2020/1/15
EPI_ISL_403936,BetaCoV/Guangdong/20SF028/2020,Zhuhai,Guangdong,China,2020/1/17
EPI_ISL_403937,BetaCoV/Guangdong/20SF040/2020,Zhuhai,Guangdong,China,2020/1/18
EPI_ISL_403962,BetaCoV/Nonthaburi/61/2020,,Nonthaburi,Thailand,2020/1/8
EPI_ISL_403963,BetaCoV/Nonthaburi/74/2020,,Nonthaburi,Thailand,2020/1/13
EPI_ISL_404227,BetaCoV/Zhejiang/WZ-01/2020,Wenzhou, Zhejiang,China,2020/1/16
EPI_ISL_404228,BetaCoV/Zhejiang/WZ-02/2020,Whenzhou,Zhejiang,China,2020/1/17
EPI_ISL_404253,BetaCoV/USA/IL1/2020,Chicago,Illinois,USA,2020/1/21
EPI_ISL_404895,BetaCoV/USA/WA1/2020,Snohomish County,Washington, USA,2020/1/19
EPI_ISL_405839,BetaCoV/Shenzhen/HKU-SZ-005/2020,Shenzhen,Guandong,China,2020/1/11
EPI_ISL_406030,BetaCoV/Shenzhen/HKU-SZ-002/2020,Shenzhen,Guandong,China,2020/1/10
EPI_ISL_406031,BetaCoV/Taiwan/2/2020,Kaohsiung,Taiwan,China,2020/1/23
EPI_ISL_406034,BetaCoV/USA/CA1/2020,Los Angeles,California,USA,2020/1/23
EPI_ISL_406036,BetaCoV/USA/CA2/2020,Orange County,California,USA,2020/1/22
EPI_ISL_406223,BetaCoV/USA/AZ1/2020,Phoenix,Arizona,USA,2020/1/22
EPI_ISL_406531,BetaCoV/Guangdong/20SF174/2020,Zhuhai,Guangdong,China,2020/1/22
EPI_ISL_406533,BetaCoV/Guangzhou/20SF206/2020,Guangzhou,Guangdong,China,2020/1/22
EPI_ISL_406534,BetaCoV/Foshan/20SF207/2020,Foshan,Guangdong,China,2020/1/22
EPI_ISL_406535,BetaCoV/Foshan/20SF210/2020,Foshan,Guangdong,China,2020/1/22
EPI_ISL_406536,BetaCoV/Foshan/20SF211/2020,Foshan,Guangdong,China,2020/1/22
EPI_ISL_406538,BetaCoV/Guangdong/20SF201/2020,,Guangdong,China,2020/1/23
EPI_ISL_406592,BetaCoV/Shenzhen/SZTH-001/2020,Shenzhen,Guandong,China,2020/1/13
EPI_ISL_406593,BetaCoV/Shenzhen/SZTH-002/2020,Shenzhen,Guandong,China,2020/1/13
EPI_ISL_406594,BetaCoV/Shenzhen/SZTH-003/2020,Shenzhen,Guandong,China,2020/1/16
EPI_ISL_406595,BetaCoV/Shenzhen/SZTH-004/2020,Shenzhen,Guandong,China,2020/1/16
EPI_ISL_406596,BetaCoV/France/IDF0372/2020,Paris,Ile-de-France,France,2020/1/23
EPI_ISL_406597,BetaCoV/France/IDF0373/2020,Paris,Ile-de-France,France,2020/1/23
EPI_ISL_406716,BetaCoV/China/WHU01/2020,Wuhan,Hubei,China,2020/1/2
EPI_ISL_406717,BetaCoV/China/WHU02/2020,Wuhan,Hubei,China,2020/1/2
EPI_ISL_406798,BetaCov/Wuhan/WH01/2019,Wuhan,Hubei,China,2019/12/26
EPI_ISL_406799,BetaCov/Wuhan/WH02/2019,Wuhan,Hubei,China,2019/12/31
EPI_ISL_406800,BetaCov/Wuhan/WH03/2020,Wuhan,Hubei,China,2020/1/1
EPI_ISL_406801,BetaCov/Wuhan/WH04/2020,Wuhan,Hubei,China,2020/1/5
EPI_ISL_406844,BetaCoV/Australia/VIC01/2020,Clayton,Victoria,Australia,2020/1/25
EPI_ISL_406862,BetaCoV/Germany/BavPat1/2020,Munich,Bavaria,Germany,2020/1/28
EPI_ISL_406959,BetaCoV/Italy/INMI1/2020,Rome,Lazio,Italy,2020/1/20
