"","Accession.ID","Area","Genotype"
"77","EPI_ISL_406844","Australia","G2"
"175","EPI_ISL_408976","Australia","G2"
"177","EPI_ISL_408977","Australia","G2"
"138","EPI_ISL_408481","Chongqing","G2"
"69","EPI_ISL_406596","France","G2"
"71","EPI_ISL_406597","France","G2"
"126","EPI_ISL_408430","France","G2"
"129","EPI_ISL_408431","France","G2"
"219","EPI_ISL_410720","France","G2"
"80","EPI_ISL_406862","Germany","G2"
"23","EPI_ISL_403934","Guangdong","G2"
"27","EPI_ISL_403936","Guangdong","G2"
"28","EPI_ISL_403937","Guangdong","G2"
"57","EPI_ISL_406531","Guangdong","G2"
"58","EPI_ISL_406533","Guangdong","G2"
"60","EPI_ISL_406534","Guangdong","G2"
"62","EPI_ISL_406535","Guangdong","G2"
"63","EPI_ISL_406536","Guangdong","G2"
"67","EPI_ISL_406594","Guangdong","G2"
"1","EPI_ISL_402120","Hubei","G2"
"3","EPI_ISL_402121","Hubei","G2"
"5","EPI_ISL_402123","Hubei","G2"
"8","EPI_ISL_402127","Hubei","G2"
"10","EPI_ISL_402128","Hubei","G2"
"12","EPI_ISL_402130","Hubei","G2"
"14","EPI_ISL_402132","Hubei","G2"
"15","EPI_ISL_403928","Hubei","G2"
"16","EPI_ISL_403930","Hubei","G2"
"73","EPI_ISL_406798","Hubei","G2"
"148","EPI_ISL_408511","Hubei","G2"
"150","EPI_ISL_408515","Hubei","G2"
"198","EPI_ISL_410545","Italy","G2"
"200","EPI_ISL_410546","Italy","G2"
"92","EPI_ISL_407084","Japan","G2"
"170","EPI_ISL_408669","Japan","G2"
"145","EPI_ISL_408486","Jiangxi","G2"
"191","EPI_ISL_410301","Nepal","G2"
"82","EPI_ISL_406973","Singapore","G2"
"116","EPI_ISL_407987","Singapore","G2"
"117","EPI_ISL_407988","Singapore","G2"
"195","EPI_ISL_410536","Singapore","G2"
"197","EPI_ISL_410537","Singapore","G2"
"202","EPI_ISL_410713","Singapore","G2"
"204","EPI_ISL_410714","Singapore","G2"
"206","EPI_ISL_410715","Singapore","G2"
"208","EPI_ISL_410716","Singapore","G2"
"217","EPI_ISL_410719","Singapore","G2"
"41","EPI_ISL_406031","Taiwan","G2"
"189","EPI_ISL_410218","Taiwan","G2"
"51","EPI_ISL_406036","USA","G2"
"118","EPI_ISL_408008","USA","G2"
"121","EPI_ISL_408009","USA","G2"
"124","EPI_ISL_408010","USA","G2"
"174","EPI_ISL_408670","USA","G2"
"178","EPI_ISL_409067","USA","G2"
"29","EPI_ISL_404227","Zhejiang","G2"
