"","Accession.ID","Area","Genotype"
"77","EPI_ISL_406844","Australia","gp2"
"175","EPI_ISL_408976","Australia","gp2"
"177","EPI_ISL_408977","Australia","gp2"
"138","EPI_ISL_408481","Chongqing","gp2"
"69","EPI_ISL_406596","France","gp2"
"71","EPI_ISL_406597","France","gp2"
"126","EPI_ISL_408430","France","gp2"
"129","EPI_ISL_408431","France","gp2"
"219","EPI_ISL_410720","France","gp2"
"80","EPI_ISL_406862","Germany","gp2"
"23","EPI_ISL_403934","Guangdong","gp2"
"27","EPI_ISL_403936","Guangdong","gp2"
"28","EPI_ISL_403937","Guangdong","gp2"
"57","EPI_ISL_406531","Guangdong","gp2"
"58","EPI_ISL_406533","Guangdong","gp2"
"60","EPI_ISL_406534","Guangdong","gp2"
"62","EPI_ISL_406535","Guangdong","gp2"
"63","EPI_ISL_406536","Guangdong","gp2"
"67","EPI_ISL_406594","Guangdong","gp2"
"1","EPI_ISL_402120","Hubei","gp2"
"3","EPI_ISL_402121","Hubei","gp2"
"5","EPI_ISL_402123","Hubei","gp2"
"8","EPI_ISL_402127","Hubei","gp2"
"10","EPI_ISL_402128","Hubei","gp2"
"12","EPI_ISL_402130","Hubei","gp2"
"14","EPI_ISL_402132","Hubei","gp2"
"15","EPI_ISL_403928","Hubei","gp2"
"16","EPI_ISL_403930","Hubei","gp2"
"73","EPI_ISL_406798","Hubei","gp2"
"148","EPI_ISL_408511","Hubei","gp2"
"150","EPI_ISL_408515","Hubei","gp2"
"221","NMDC60013002-06","Hubei","gp2"
"222","NMDC60013002-09","Hubei","gp2"
"224","NMDC60013002-10","Hubei","gp2"
"198","EPI_ISL_410545","Italy","gp2"
"200","EPI_ISL_410546","Italy","gp2"
"92","EPI_ISL_407084","Japan","gp2"
"170","EPI_ISL_408669","Japan","gp2"
"145","EPI_ISL_408486","Jiangxi","gp2"
"191","EPI_ISL_410301","Nepal","gp2"
"82","EPI_ISL_406973","Singapore","gp2"
"116","EPI_ISL_407987","Singapore","gp2"
"117","EPI_ISL_407988","Singapore","gp2"
"195","EPI_ISL_410536","Singapore","gp2"
"197","EPI_ISL_410537","Singapore","gp2"
"202","EPI_ISL_410713","Singapore","gp2"
"204","EPI_ISL_410714","Singapore","gp2"
"217","EPI_ISL_410719","Singapore","gp2"
"206","EPI_ISL_410715","SIngapore","gp2"
"208","EPI_ISL_410716","SIngapore","gp2"
"41","EPI_ISL_406031","Taiwan","gp2"
"189","EPI_ISL_410218","Taiwan","gp2"
"51","EPI_ISL_406036","USA","gp2"
"118","EPI_ISL_408008","USA","gp2"
"121","EPI_ISL_408009","USA","gp2"
"124","EPI_ISL_408010","USA","gp2"
"174","EPI_ISL_408670","USA","gp2"
"178","EPI_ISL_409067","USA","gp2"
"29","EPI_ISL_404227","Zhejiang","gp2"
